Year,Month,Transit_Mode,Ridership
2021,February,KL Monorail,312303
2021,March,KL Monorail,502882
2021,April,KL Monorail,523031
2021,May,KL Monorail,320320
2021,June,KL Monorail,125639
2021,July,KL Monorail,137369
2021,August,KL Monorail,179144
2021,September,KL Monorail,274935
2021,October,KL Monorail,407268
2021,November,KL Monorail,501210
2021,December,KL Monorail,589922
2025,January,Kajang (MRT),7474956
2025,February,Kajang (MRT),7039197
2025,March,Kajang (MRT),7142305
2025,April,Kajang (MRT),7389774
2025,May,Kajang (MRT),7823203
2025,June,Kajang (MRT),7527345
2025,July,Kajang (MRT),8322586
2025,August,Kajang (MRT),8301044
2025,September,Kajang (MRT),7530148
2025,October,Kajang (MRT),8015428
2025,November,Kajang (MRT),7803280
2025,December,Kajang (MRT),8368266
2024,January,Kajang (MRT),6506378
2024,February,Kajang (MRT),6167840
2024,March,Kajang (MRT),6650215
2024,April,Kajang (MRT),6262373
2024,May,Kajang (MRT),7112851
2024,June,Kajang (MRT),6723816
2024,July,Kajang (MRT),7471333
2024,August,Kajang (MRT),7515992
2024,September,Kajang (MRT),7035573
2024,October,Kajang (MRT),7720239
2024,November,Kajang (MRT),7499351
2024,December,Kajang (MRT),7855033
2023,January,Kajang (MRT),4557793
2023,February,Kajang (MRT),4392381
2023,March,Kajang (MRT),5525715
2023,April,Kajang (MRT),4908411
2023,May,Kajang (MRT),5444245
2023,June,Kajang (MRT),5405343
2023,July,Kajang (MRT),5626647
2023,August,Kajang (MRT),5906244
2023,September,Kajang (MRT),5714336
2023,October,Kajang (MRT),6137159
2023,November,Kajang (MRT),6133584
2023,December,Kajang (MRT),6749650
2022,January,Kajang (MRT),2737126
2022,February,Kajang (MRT),2000682
2022,March,Kajang (MRT),2497966
2022,April,Kajang (MRT),2853546
2022,May,Kajang (MRT),3375471
2022,June,Kajang (MRT),4441552
2022,July,Kajang (MRT),4666497
2022,August,Kajang (MRT),4513422
2022,September,Kajang (MRT),4508174
2022,October,Kajang (MRT),4542720
2022,November,Kajang (MRT),4336909
2022,December,Kajang (MRT),4874144
2021,January,Kajang (MRT),1510475
2021,February,Kajang (MRT),1423721
2021,March,Kajang (MRT),2435248
2021,April,Kajang (MRT),2609911
2021,May,Kajang (MRT),1524387
2021,June,Kajang (MRT),580487
2021,July,Kajang (MRT),614041
2021,August,Kajang (MRT),758049
2021,September,Kajang (MRT),1294304
2021,October,Kajang (MRT),1870652
2021,November,Kajang (MRT),2278009
2021,December,Kajang (MRT),2673726
2025,January,Putrajaya (MRT),4324708
2025,February,Putrajaya (MRT),4147600
2025,March,Putrajaya (MRT),4305723
2025,April,Putrajaya (MRT),4485310
2025,May,Putrajaya (MRT),4716456
2025,June,Putrajaya (MRT),4479168
2025,July,Putrajaya (MRT),5110482
2025,August,Putrajaya (MRT),5052583
2025,September,Putrajaya (MRT),4543928
2025,October,Putrajaya (MRT),4753510
2025,November,Putrajaya (MRT),4759332
2025,December,Putrajaya (MRT),4991264
2024,January,Putrajaya (MRT),3651371
2024,February,Putrajaya (MRT),3364322
2024,March,Putrajaya (MRT),3746093
2024,April,Putrajaya (MRT),3575514
2024,May,Putrajaya (MRT),4045346
2024,June,Putrajaya (MRT),3729030
2024,July,Putrajaya (MRT),4277136
2024,August,Putrajaya (MRT),4390005
2024,September,Putrajaya (MRT),4046549
2024,October,Putrajaya (MRT),4468723
2024,November,Putrajaya (MRT),4360372
2024,December,Putrajaya (MRT),4471649
2023,January,Putrajaya (MRT),640429
2023,February,Putrajaya (MRT),541466
2023,March,Putrajaya (MRT),2036718
2023,April,Putrajaya (MRT),2137546
2023,May,Putrajaya (MRT),2543049
2023,June,Putrajaya (MRT),2542969
2023,July,Putrajaya (MRT),2781645
2023,August,Putrajaya (MRT),3099685
2023,September,Putrajaya (MRT),2987450
2023,October,Putrajaya (MRT),3299662
2023,November,Putrajaya (MRT),3320682
2023,December,Putrajaya (MRT),3624550
2022,January,Putrajaya (MRT),
2022,February,Putrajaya (MRT),
2022,March,Putrajaya (MRT),
2022,April,Putrajaya (MRT),
2022,May,Putrajaya (MRT),
2022,June,Putrajaya (MRT),369564
2022,July,Putrajaya (MRT),688844
2022,August,Putrajaya (MRT),579156
2022,September,Putrajaya (MRT),605209
2022,October,Putrajaya (MRT),629934
2022,November,Putrajaya (MRT),610845
2022,December,Putrajaya (MRT),664025
2021,January,Putrajaya (MRT),
2021,February,Putrajaya (MRT),
2021,March,Putrajaya (MRT),
2021,April,Putrajaya (MRT),
2021,May,Putrajaya (MRT),
2021,June,Putrajaya (MRT),
2021,July,Putrajaya (MRT),
2021,August,Putrajaya (MRT),
2021,September,Putrajaya (MRT),
2021,October,Putrajaya (MRT),
2021,November,Putrajaya (MRT),
2021,December,Putrajaya (MRT),
2025,January,KL (BUS),6300772
2025,February,KL (BUS),6116351
2025,March,KL (BUS),6473286
2025,April,KL (BUS),6704021
2025,May,KL (BUS),6847315
2025,June,KL (BUS),6509133
2025,July,KL (BUS),6793122
2025,August,KL (BUS),6709801
2025,September,KL (BUS),5954738
2025,October,KL (BUS),6640671
2025,November,KL (BUS),6455930
2025,December,KL (BUS),6485099
2024,January,KL (BUS),6084147
2024,February,KL (BUS),5558775
2024,March,KL (BUS),6104762
2024,April,KL (BUS),5709475
2024,May,KL (BUS),6282229
2024,June,KL (BUS),5785825
2024,July,KL (BUS),6563009
2024,August,KL (BUS),6662416
2024,September,KL (BUS),6391714
2024,October,KL (BUS),6825476
2024,November,KL (BUS),6680696
2024,December,KL (BUS),6420026
2023,January,KL (BUS),4323631
2023,February,KL (BUS),4430186
2023,March,KL (BUS),5749579
2023,April,KL (BUS),5025792
2023,May,KL (BUS),5448988
2023,June,KL (BUS),5161823
2023,July,KL (BUS),5399574
2023,August,KL (BUS),5669349
2023,September,KL (BUS),5511967
2023,October,KL (BUS),6061147
2023,November,KL (BUS),5995334
2023,December,KL (BUS),5804593
2022,January,KL (BUS),3380633
2022,February,KL (BUS),2789683
2022,March,KL (BUS),3206086
2022,April,KL (BUS),3442729
2022,May,KL (BUS),3727727
2022,June,KL (BUS),4110011
2022,July,KL (BUS),4299959
2022,August,KL (BUS),4632950
2022,September,KL (BUS),4223611
2022,October,KL (BUS),4322220
2022,November,KL (BUS),4346789
2022,December,KL (BUS),4266379
2021,January,KL (BUS),3480433
2021,February,KL (BUS),3146247
2021,March,KL (BUS),4270849
2021,April,KL (BUS),4425536
2021,May,KL (BUS),3085264
2021,June,KL (BUS),1500397
2021,July,KL (BUS),1509935
2021,August,KL (BUS),1923302
2021,September,KL (BUS),2762507
2021,October,KL (BUS),3376253
2021,November,KL (BUS),3016673
2021,December,KL (BUS),3185245
