day_of_week,ridership
Monday,3195.7744360902257
Tuesday,3434.375939849624
Wednesday,3537.3233082706765
Thursday,3375.1714285714284
Friday,3194.714285714286
Saturday,2162.9248120300754
Sunday,1804.796992481203
